date,prcp,snowdepth,snow
20151018,0,0,0
20151019,0,0,0
20151020,0,0,0
20151021,0,0,0
20151022,0,0,0
20151023,0,0,0
20151024,0,0,0
20151025,0.05,0,0
20151026,0,0,0
20151027,0,0,0
20151028,1.4,0,0
20151029,0.04,0,0
20151030,0,0,0
20151031,0,0,0
20151101,0,0,0
20151102,0,0,0
20151103,0,0,0
20151104,0,0,0
20151105,0.01,0,0
20151106,0,0,0
20151107,0,0,0
20151108,0,0,0
20151109,0,0,0
20151110,0.26,0,0
20151111,0.43,0,0
20151112,0.01,0,0
20151113,0,0,0
20151114,0,0,0
20151115,0,0,0
20151116,0,0,0
20151117,0,0,0
20151118,0,0,0
20151119,1.25,0,0
20151120,0,0,0
20151121,0,0,0
20151122,0.03,0,0
20151123,0,0,0
20151124,0,0,0
20151125,0,0,0
20151126,0,0,0
20151127,0,0,0
20151128,0.02,0,0
20151129,0,0,0
20151130,0,0,0
20151201,0.33,0,0
20151202,0.14,0,0
20151203,0,0,0
20151204,0,0,0
20151205,0,0,0
20151206,0,0,0
20151207,0,0,0
20151208,0,0,0
20151209,0,0,0
20151210,0,0,0
20151211,0,0,0
20151212,0,0,0
20151213,0,0,0
20151214,0.33,0,0
20151215,0.09,0,0
20151216,0.04,0,0
20151217,1.21,0,0
20151218,0,0,0
20151219,0,0,0
20151220,0,0,0
20151221,0,0,0
20151222,0.19,0,0
20151223,1.55,0,0
20151224,0.01,0,0
20151225,0.01,0,0
20151226,0,0,0
20151227,0.12,0,0
20151228,0.03,0,0
20151229,0.45,0,0
20151230,0.19,0,0
20151231,0.03,0,0
20160101,0,0,0
20160102,0,0,0
20160103,0,0,0
20160104,0,0,0
20160105,0,0,0
20160106,0,0,0
20160107,0,0,0
20160108,0,0,0
20160109,0,0,0
20160110,1.8,0,0
20160111,0,0,0
20160112,0,0,0
20160113,0,0,0
20160114,0,0,0
20160115,0,0,0
20160116,0.24,0,0
20160117,0.05,0,0.4
20160118,0,0,0
20160119,0,0,0
20160120,0,0,0
20160121,0,0,0
20160122,0.01,0,0.2
20160123,2.31,5.9,27.3
20160124,0,22,0
20160125,0,18.9,0
20160126,0,16.9,0
20160127,0,9.1,0
20160128,0,5.9,0
20160129,0,5.9,0
20160130,0,5.9,0
20160131,0,3.9,0
