measurement,mean_entries,mean_exits
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.16,0,0
0.19,0,0
0.2,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.35,0,0
0.36,0,0
0.44,0,0
0.52,0,0
0.53,0,0
0.55,0,0
0.61,0,0
0.64,0,0
0.71,0,0
0.72,0,0
0.81,0,0
0.82,0,0
1.08,0,0
1.12,0,0
1.46,0,0
1.65,0,0
1.8,0,0
2.1,0,0
2.31,0,0
